id,name,category,price,currency,stock,description,manufacturer,warranty
1,Product 1,Appliances,320.46,USD,51,Description of product 1,CamTech,2 years
2,Product 2,Wearables,808.81,USD,127,Description of product 2,BrightLife,1 year
3,Product 3,Cleaning,467.24,USD,122,Description of product 3,TabTech,2 years
4,Product 4,Smart Home,734.96,USD,,Description of product 4,BrightLife,
5,Product 5,Smart Home,430.78,USD,,Description of product 5,CamTech,
6,Product 6,Audio,423.93,USD,,Description of product 6,TechCorp,2 years
7,Product 7,Accessories,341.36,USD,13,,VirtuaWorld,1 year
8,Product 8,Tablets,489.57,USD,161,Description of product 8,BrightLife,1 year
9,Product 9,TVs,78.55,USD,,Description of product 9,SoundMaster,2 years
10,Product 10,Security,72.81,USD,,Description of product 10,BrightLife,1 year
11,Product 11,Cleaning,951.59,USD,157,Description of product 11,,2 years
12,Product 12,Laptops,629.97,USD,32,Description of product 12,WearTech,
13,Product 13,Laptops,751.35,USD,,Description of product 13,GameOn,1 year
14,Product 14,Monitors,344.86,USD,,,CompWorld,1 year
15,Product 15,Smartphones,648.09,USD,155,Description of product 15,TabTech,
16,Product 16,Laptops,894.72,USD,198,Description of product 16,SecureHome,
17,Product 17,Cleaning,107.31,USD,,Description of product 17,DisplayMakers,
18,Product 18,Smartphones,290.31,USD,193,Description of product 18,VirtuaWorld,1 year
19,Product 19,Smartphones,110.66,USD,,Description of product 19,SecureHome,2 years
20,Product 20,Monitors,305.03,USD,112,Description of product 20,ViewPlus,2 years
21,Product 21,Monitors,664.9,USD,,,SecureHome,2 years
22,Product 22,Monitors,371.75,USD,8,Description of product 22,,1 year
23,Product 23,Cameras,975.01,USD,,Description of product 23,CleanBot,2 years
24,Product 24,Tablets,122.6,USD,190,Description of product 24,CleanBot,1 year
25,Product 25,Wearables,483.29,USD,,Description of product 25,ViewPlus,1 year
26,Product 26,Smartphones,404.85,USD,75,Description of product 26,CompWorld,2 years
27,Product 27,Appliances,90.0,USD,14,Description of product 27,DisplayMakers,1 year
28,Product 28,Virtual Reality,317.98,USD,,,CleanBot,
29,Product 29,Monitors,372.03,USD,,Description of product 29,SoundMaster,2 years
30,Product 30,Appliances,799.0,USD,42,Description of product 30,CamTech,1 year
31,Product 31,Security,298.51,USD,,Description of product 31,TechCorp,2 years
32,Product 32,Laptops,223.19,USD,,Description of product 32,TechCorp,1 year
33,Product 33,Laptops,592.77,USD,27,Description of product 33,,1 year
34,Product 34,Cameras,82.78,USD,140,Description of product 34,VirtuaWorld,
35,Product 35,Cleaning,923.65,USD,1,,KitchenEase,2 years
